stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
145,47280,"Seneca St & Smith St",,42.874379,-78.844422,1,0
146,47670,"Seneca Creek Rd & Cindy Lane",,42.850837,-78.729872,1,0
148,47160,"Seneca St & Ridge Rd",,42.829748,-78.772961,1,0
149,47170,"Seneca St & Ridge Rd",,42.830288,-78.774451,1,0
150,47180,"Seneca St & Royal Yark Apartments",,42.835070,-78.774553,1,0
152,47200,"Seneca St & Ryan St",,42.857299,-78.811772,1,0
153,47210,"Seneca St & Sage Ave",,42.860889,-78.816831,1,0
154,47450,"Seneca St & Thorndale Ave",,42.841819,-78.786862,1,0
155,47240,"Seneca St & City Line",,42.847839,-78.800962,1,0
157,47290,"Seneca St & Smith St",,42.874198,-78.843690,1,0
158,47310,"Seneca St & Southside Parkway",,42.862379,-78.819421,1,0
162,47370,"Seneca St & Stephenson Ave",,42.845088,-78.795573,1,0
163,47380,"Seneca St & Stevenson St",,42.858748,-78.813824,1,0
165,47230,"Seneca St & City Line",,42.848039,-78.801080,1,0
166,50120,"South Park Ave & Knoll Dr",,42.741659,-78.825313,1,0
167,50010,"South Park Ave & Hilbert College",,42.754780,-78.824690,1,0
168,50020,"South Park Ave & Hopkins St",,42.857858,-78.831583,1,0
169,50040,"South Park Ave & Immaculata",,42.756158,-78.824351,1,0
170,50050,"South Park Ave & Immaculata",,42.756408,-78.824693,1,0
171,50052,"South Park Ave & Immaculate Conception",,42.753158,-78.824524,1,0
172,50070,"South Park Ave & Josie Place",,42.851859,-78.825293,1,0
173,50080,"South Park Ave & Katherine St",,42.870310,-78.856473,1,0
174,50210,"South Park Ave & Macamley St",,42.853728,-78.826811,1,0
175,50110,"South Park Ave & Knoll Dr",,42.741750,-78.825033,1,0
176,49980,"South Park Ave & West Highland Parkway",,42.780108,-78.823790,1,0
177,50130,"South Park Ave & Lake Ave",,42.795750,-78.823763,1,0
178,50140,"South Park Ave & Lake Ave",,42.797408,-78.823911,1,0
179,50150,"South Park Ave & Lee St",,42.863897,-78.843931,1,0
180,50160,"South Park Ave & Lee St",,42.863939,-78.844271,1,0
181,50170,"South Park Ave & Lockwood Ave",,42.844310,-78.823853,1,0
182,50180,"South Park Ave & Louisiana St",,42.871768,-78.864273,1,0
183,50190,"South Park Ave & Louisiana St",,42.871718,-78.864883,1,0
184,48810,"Sheridan Dr & Village Green",,42.978539,-78.748042,1,0
185,50100,"South Park Ave & Kirby Ave",,42.816798,-78.824053,1,0
186,49910,"South Park Ave & Frontier Dr",,42.800400,-78.823832,1,0
187,49823,"South Park Ave & Crystal Ave",,42.845628,-78.823790,1,0
188,49830,"South Park Ave & Downing St",,42.834640,-78.823793,1,0
189,49833,"South Park Ave & Downing St",,42.834818,-78.824000,1,0
190,49840,"South Park Ave & Elk St",,42.868438,-78.850773,1,0
191,49850,"South Park Ave & Elk St",,42.868287,-78.850890,1,0
192,49860,"South Park Ave & Euclid St",,42.866898,-78.848971,1,0
193,49870,"South Park Ave & East Milnor Ave",,42.810309,-78.823860,1,0
194,49880,"South Park Ave & Fairview Parkway",,42.782259,-78.823751,1,0
195,50000,"South Park Ave & Hilbert College",,42.754448,-78.824510,1,0
196,49900,"South Park Ave & Folger St",,42.850950,-78.824762,1,0
197,49990,"South Park Ave & West Highland Parkway",,42.780379,-78.823900,1,0
198,49920,"South Park Ave & Germania St",,42.858968,-78.834711,1,0
199,49923,"South Park Ave & Germania St",,42.858839,-78.834563,1,0
200,49930,"South Park Ave & Greenfield Parkway",,42.777779,-78.823681,1,0
201,49940,"South Park Ave & Greenfield Parkway",,42.777979,-78.823922,1,0
202,49950,"South Park Ave & Hamburg St",,42.870699,-78.858171,1,0
203,49960,"South Park Ave & Hamburg St",,42.870658,-78.858721,1,0
204,49970,"South Park Ave & Harding Rd",,42.840268,-78.823701,1,0
205,50220,"South Park Ave & Madison Ave",,42.795667,-78.823771,1,0
206,49890,"South Park Ave & Fairview Parkway",,42.782769,-78.823882,1,0
207,50590,"South Park Ave & Sirret St",,42.854838,-78.827603,1,0
208,50490,"South Park Ave & Pearl Ave",,42.800279,-78.823971,1,0
209,50500,"South Park Ave & Hamburg Raceway",,42.737670,-78.825262,1,0
210,50510,"South Park Ave & Red Jacket St",,42.870408,-78.856551,1,0
211,50520,"South Park Ave & Reddon St",,42.818258,-78.823941,1,0
212,50540,"South Park Ave & Ridge Rd",,42.825660,-78.824123,1,0
213,50550,"South Park Ave & Ridgewood Rd",,42.838660,-78.823743,1,0
214,50560,"South Park Ave & Ridgewood Rd",,42.839060,-78.823893,1,0
215,50200,"South Park Ave & Macamley St",,42.853358,-78.826422,1,0
216,50582,"South Park Ave & Sharon Parkway",,42.811268,-78.823861,1,0
217,50460,"South Park Ave & Parkview Ave",,42.829480,-78.823780,1,0
218,50600,"South Park Ave & Smith St",,42.865977,-78.847482,1,0
219,50610,"South Park Ave & Smith St",,42.866098,-78.847911,1,0
220,50620,"South Park Ave & Southside Parkway",,42.850188,-78.824043,1,0
221,50630,"South Park Ave & Southside Parkway",,42.849840,-78.823941,1,0
222,42760,"Pine Ave & Hyde Park Blvd",,43.095138,-79.024562,1,0
223,50650,"South Park Ave & Sowles Rd",,42.751289,-78.824482,1,0
224,58880,"Youngs Rd & Lawrence Bell Dr",,42.952797,-78.724682,1,0
225,50680,"South Park Ave & Sprague Ave",,42.750028,-78.824753,1,0
226,50570,"South Park Ave & Roland Ave",,42.811599,-78.824022,1,0
227,50340,"South Park Ave & Michigan Ave",,42.872907,-78.871571,1,0
228,50230,"South Park Ave & Madison Ave",,42.795898,-78.824091,1,0
229,50240,"South Park Ave & Maple Ave",,42.790190,-78.823802,1,0
230,50250,"South Park Ave & Maple Ave",,42.790338,-78.823921,1,0
231,50260,"South Park Ave & Maplegrove Ave",,42.822489,-78.823871,1,0
232,50270,"South Park Ave & Maplegrove Ave",,42.822558,-78.824031,1,0
233,50280,"South Park Ave & Marilla St",,42.837437,-78.823741,1,0
234,50290,"South Park Ave & Marilla St",,42.837410,-78.823921,1,0
235,50300,"South Park Ave & Martin Rd",,42.816118,-78.823932,1,0
236,50480,"South Park Ave & Payson St",,42.858009,-78.831751,1,0
237,50330,"South Park Ave & Michigan Ave",,42.873020,-78.871552,1,0
238,50470,"South Park Ave & Parkview Ave",,42.829348,-78.824013,1,0
239,50380,"South Park Ave & Mundy St",,42.786509,-78.823752,1,0
240,50390,"South Park Ave & Mundy St",,42.786257,-78.823922,1,0
242,50420,"South Park Ave & Lack Victory Trans Ctr",,42.827098,-78.823862,1,0
243,50430,"South Park Ave & Newman St",,42.819160,-78.824084,1,0
244,50440,"South Park Ave & Norway Place",,42.728649,-78.825592,1,0
245,50450,"South Park Ave & Oakwood Ave",,42.798279,-78.823781,1,0
246,49790,"South Park Ave & Cleveland Ave",,42.809350,-78.823991,1,0
247,50320,"South Park Ave & McKinley Parkway",,42.827970,-78.823934,1,0
248,49170,"Smith St & Minton St",,42.872080,-78.844813,1,0
249,49070,"Skillen St & Wiley Place",,42.959829,-78.896593,1,0
250,49080,"Skillen St & Wyandotte Ave",,42.961399,-78.898792,1,0
251,49090,"Skillen St & Wyandotte Ave",,42.961320,-78.898561,1,0
252,49099,"Slade Ave & BOCES",,42.835327,-78.788564,1,0
253,49110,"Slade Ave & Orchard Park Rd",,42.835210,-78.788823,1,0
254,49150,"Slade Ave & Hampton Inn",,42.829559,-78.788230,1,0
255,49155,"Smith St & Clifford St",,42.871888,-78.844953,1,0
256,49810,"South Park Ave & Columbus Ave",,42.847568,-78.823502,1,0
257,49161,"Slade Ave & Hampton Inn",,42.829869,-78.787992,1,0
258,49050,"Skillen St & Roesch Ave",,42.962298,-78.899921,1,0
259,49180,"Smith St & Perry St",,42.870197,-78.845421,1,0
260,49190,"Smith St & Perry St",,42.870280,-78.845480,1,0
261,49200,"Smith St & Prenatt St",,42.866969,-78.846432,1,0
262,49210,"Smith St & Seneca St",,42.873869,-78.844231,1,0
263,49220,"Fillmore Ave & Seneca St",,42.874689,-78.844012,1,0
267,49160,"Smith St & Elk St",,42.868219,-78.845940,1,0
268,48970,"70 Skillen St",,42.957478,-78.891711,1,0
269,48850,"Sheridan-Parkside Dr & Alcott Court",,42.986448,-78.894021,1,0
270,48870,"Sheridan-Parkside Dr & Browning Ave",,42.986089,-78.893941,1,0
271,48890,"Sheridan-Parkside Dr & Ensminger Rd",,42.987749,-78.893990,1,0
272,48900,"Sheridan-Parkside Dr & Ensminger Rd",,42.987678,-78.894032,1,0
273,48910,"Sheridan-Parkside Dr & Pyle Court",,42.984930,-78.893881,1,0
274,48920,"Sheridan-Parkside Dr & Pyle Court",,42.984900,-78.893971,1,0
275,48930,"Sheridan-Parkside Dr & Shelley Court",,42.983069,-78.893152,1,0
276,48940,"Sheridan-Parkside Dr & Shelley Court",,42.983307,-78.893502,1,0
277,49060,"Skillen St & Vulcan St",,42.963849,-78.901982,1,0
279,49055,"Skillen St & Vulcan St",,42.963739,-78.901952,1,0
280,48980,"75 Skillen St",,42.957779,-78.892091,1,0
281,48990,"Skillen St & Doyle Ave",,42.960497,-78.897360,1,0
282,49000,"Skillen St & Military Rd",,42.956499,-78.889651,1,0
283,49010,"Skillen St & Military Rd",,42.956878,-78.890180,1,0
284,49020,"Skillen St & Ontario St",,42.958530,-78.894123,1,0
285,49030,"Skillen St & Ontario St",,42.959100,-78.894741,1,0
286,49040,"Skillen St & Roesch Ave",,42.962498,-78.900253,1,0
288,48943,"Sheridan-Parkside Dr & Sheridan Dr",,42.981088,-78.892843,1,0
289,49720,"South Park Ave & Bradley Lane",,42.747208,-78.824842,1,0
292,49630,"South Park Ave & Beetow Dr",,42.758898,-78.824192,1,0
293,49640,"South Park Ave & Beetow Dr",,42.759468,-78.824572,1,0
294,49650,"South Park Ave & Town Hall Plaza",,42.733340,-78.825392,1,0
295,49660,"South Park Ave & Town Hall Plaza",,42.733669,-78.825591,1,0
296,49670,"South Park Ave & Big Tree Rd",,42.771619,-78.823721,1,0
297,49680,"South Park Ave & Big Tree Rd",,42.772087,-78.823971,1,0
298,49600,"South Park Ave & Bailey Ave",,42.857340,-78.829711,1,0
299,49710,"South Park Ave & Botanical Gardens",,42.828329,-78.824002,1,0
300,49590,"South Park Ave & Bailey Ave",,42.857258,-78.829741,1,0
301,49730,"South Park Ave & Bradley Lane",,42.748129,-78.824980,1,0
302,49740,"South Park Ave & Buffalo Raceway",,42.738440,-78.825383,1,0
303,49750,"South Park Ave & Chicago St",,42.872390,-78.867821,1,0
304,49760,"South Park Ave & Chicago St",,42.872337,-78.868311,1,0
305,49770,"South Park Ave & Choate Ave",,42.844159,-78.823652,1,0
306,49772,"Buffalo St & Oliver Place",,42.724218,-78.825883,1,0
307,49780,"South Park Ave & Cleveland Ave",,42.808769,-78.823842,1,0
309,49700,"South Park Ave & Bolton Place",,42.867309,-78.849850,1,0
310,49500,"South Park Ave & Alabama St",,42.871099,-78.860980,1,0
311,49800,"South Park Ave & Colgate Ave",,42.840208,-78.823832,1,0
312,49360,"Southside Parkway & South Park High School",,42.852449,-78.823891,1,0
313,49390,"1176 South Park Ave",,42.859877,-78.837411,1,0
314,49400,"1263 South Park Ave",,42.859949,-78.837941,1,0
315,49440,"2535 South Park",,42.830979,-78.824023,1,0
316,49450,"2542 South Park Ave",,42.831198,-78.823823,1,0
317,49452,"5285 South Park Ave",,42.753467,-78.824801,1,0
318,49460,"5391 South Park Ave",,42.750190,-78.824871,1,0
319,49610,"South Park Ave & Bayview Rd",,42.765059,-78.824141,1,0
320,49490,"South Park Ave & Alabama St",,42.871110,-78.860501,1,0
322,49510,"South Park Ave & Alamo Place",,42.854868,-78.827491,1,0
323,49520,"South Park Ave & Aldrich Place",,42.832790,-78.823811,1,0
324,49530,"South Park Ave & Aldrich Place",,42.832839,-78.824023,1,0
325,49540,"South Park Ave & Arnold Place",,42.812948,-78.823892,1,0
326,49550,"South Park Ave & Arnold Place",,42.813219,-78.824014,1,0
327,49560,"South Park Ave & Autumn Lane",,42.806798,-78.823843,1,0
328,49570,"South Park Ave & Avon St",,42.793409,-78.823781,1,0
329,49580,"South Park Ave & Avon St",,42.793368,-78.823942,1,0
330,49470,"South Park Ave & Abott Rd",,42.856849,-78.828963,1,0
331,43780,"Richmond Ave & Vermont St",,42.911110,-78.882141,1,0
332,43690,"Richmond Ave & Connecticut St",,42.909090,-78.882241,1,0
333,43700,"Richmond Ave & Highland Ave",,42.914288,-78.882004,1,0
334,43710,"Richmond Ave & Lexington Ave",,42.913058,-78.881952,1,0
335,43720,"Richmond Ave & Porter Ave",,42.902659,-78.882011,1,0
336,43730,"Richmond Ave & Rhode Island St",,42.913529,-78.882241,1,0
338,43750,"Richmond Ave & Summer St",,42.904928,-78.881760,1,0
339,43880,"Ridge Rd & Electric Ave",,42.825758,-78.827993,1,0
340,43770,"Richmond Ave & West Utica St",,42.911570,-78.881943,1,0
341,43660,"Richmond Ave & 17th St",,42.906599,-78.881812,1,0
342,43790,"1956 Ridge Rd",,42.829329,-78.779224,1,0
343,43800,"1955 Ridge Rd",,42.829148,-78.779210,1,0
344,43810,"Ridge Rd & Abbott Rd",,42.828159,-78.804761,1,0
345,43820,"Ridge Rd & Abbott Rd",,42.828359,-78.804972,1,0
346,43840,"Ridge Rd & Center St",,42.825939,-78.832363,1,0
347,43850,"Ridge Rd & Center St",,42.825969,-78.832102,1,0
348,43860,"Ridge Rd & Community Dirve",,42.828057,-78.800192,1,0
349,46600,"Seneca St & Hammerschmidt Ave",,42.859858,-78.815591,1,0
350,43760,"Summer St & Richmond Ave",,42.904769,-78.881612,1,0
351,43524,"Amherst Station",,42.939819,-78.838361,1,0
352,43514,"Allen-Medical Campus Sta.",,42.899748,-78.869683,1,0
353,43515,"Allen-Medical Campus Sta.",,42.899828,-78.869873,1,0
354,43516,"Summer-Best Station",,42.904829,-78.867941,1,0
355,43517,"Summer-Best Station",,42.904878,-78.868192,1,0
356,43518,"Utica Station",,42.911529,-78.865713,1,0
357,43519,"Utica Station",,42.911669,-78.865903,1,0
358,43520,"Delavan-Canisius College",,42.922399,-78.856843,1,0
359,43521,"Delavan-Canisius College",,42.922468,-78.857171,1,0
360,43680,"Richmond Ave & Bryant St",,42.908599,-78.881780,1,0
361,43523,"Humboldt Station",,42.927529,-78.851911,1,0
362,43670,"Richmond Ave & 17th St",,42.906868,-78.882020,1,0
363,43525,"Amherst Station",,42.939828,-78.838630,1,0
364,43526,"LaSalle Station",,42.947259,-78.830050,1,0
365,43527,"LaSalle Station",,42.947528,-78.830232,1,0
366,43528,"University Station",,42.954389,-78.820153,1,0
367,43529,"University Station",,42.954409,-78.820253,1,0
370,43890,"Ridge Rd & Electric Ave",,42.825788,-78.827522,1,0
371,43522,"Humboldt Station",,42.927499,-78.851533,1,0
372,44231,"Ridge Lea Rd & 4248 Amherst Comm. Park",,42.997360,-78.814392,1,0
374,44130,"Ridge Rd & South Park Ave",,42.825868,-78.824342,1,0
375,44140,"Ridge Rd & Steelawanna Ave",,42.827279,-78.845292,1,0
376,44150,"Ridge Rd & Steelawanna Ave",,42.827309,-78.844971,1,0
377,44160,"Ridge Rd & South Shore Blvd",,42.828249,-78.810181,1,0
378,44170,"Ridge Rd & South Shore Blvd",,42.828370,-78.808802,1,0
379,44200,"Ridge Rd & Victory Ave",,42.825778,-78.825583,1,0
380,43870,"Ridge Rd & Community Dr",,42.828200,-78.800000,1,0
381,44230,"Ridge Rd & Wilkes Barre Ave",,42.827109,-78.843130,1,0
382,44081,"Ridge Rd & Simon Ave",,42.827778,-78.849462,1,0
383,44232,"Bailey Ave & 6000 Amherst Dev. Park",,42.995348,-78.815303,1,0
384,44240,"Ridge Lea Rd & North Bailey Ave",,43.001328,-78.819213,1,0
385,44250,"Ridge Lea Rd & OTB Drway",,43.001399,-78.819074,1,0
386,44255,"Ridge Lea Rd & Romney Rd",,42.997658,-78.814693,1,0
387,44260,"Riley St & Main St",,42.768067,-78.611640,1,0
388,44263,"Riley St & Deaconess Center Rear",,42.909249,-78.845810,1,0
389,44300,"Liberty Dr & River Rd",,43.066908,-78.922393,1,0
390,44310,"3738 River Rd",,42.976369,-78.932553,1,0
391,44210,"Ridge Rd & Victory Ave",,42.825838,-78.825403,1,0
392,43990,"Ridge Rd & Melroy Ave",,42.826339,-78.820520,1,0
393,43900,"Ridge Rd & Fairview Dr",,42.826887,-78.840800,1,0
394,43910,"Ridge Rd & Franklin Ave",,42.825799,-78.829700,1,0
395,43920,"Ridge Rd & Franklin St",,42.825838,-78.829342,1,0
396,43930,"Ridge Rd & Gates Ave",,42.827529,-78.848504,1,0
397,43940,"Ridge Rd & Gates Ave",,42.827600,-78.847793,1,0
398,43960,"Ridge Rd & Holland Ave",,42.827008,-78.842552,1,0
399,43970,"Ridge Rd & Ingham Ave",,42.826819,-78.840734,1,0
400,43973,"Ridge Rd & Langner Rd",,42.828997,-78.782260,1,0
401,44100,"Ridge Rd & Slade Ave",,42.828627,-78.786923,1,0
402,43980,"Ridge Rd & Melroy Ave",,42.826068,-78.820970,1,0
403,44090,"Ridge Rd & Seneca St",,42.829608,-78.774013,1,0
404,44000,"Ridge Rd & Orchard Place",,42.828268,-78.812853,1,0
405,44010,"Ridge Rd & Orchard Place",,42.828400,-78.812303,1,0
406,44020,"Ridge Rd & Orchard Park Rd",,42.829458,-78.777063,1,0
407,44040,"Ridge Rd & Orleans St",,42.828238,-78.807062,1,0
408,44050,"Ridge Rd & Relich Ave",,42.828348,-78.805521,1,0
